City,Lat,Lng,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed
sychevka,55.83,34.27,RU,3/3/2019,25.6,96,80,2.95
ishim,56.11,69.47,RU,3/3/2019,29.29,92,88,20.96
den helder,52.96,4.76,NL,3/3/2019,55,81,75,28.86
ilinskiy,55.62,38.12,RU,3/3/2019,21.2,92,0,4.47
sopelana,43.38,-2.98,ES,3/3/2019,62.6,45,0,18.34
krasnoborsk,61.56,45.93,RU,3/3/2019,-5.91,69,0,3.06
zhaoyang,42.68,126.03,CN,3/3/2019,36.31,62,48,3.18
zapadnaya dvina,56.26,32.09,RU,3/3/2019,29.11,91,92,8.21
rtishchevo,52.26,43.79,RU,3/3/2019,23.44,91,88,17.72
wattegama,7.35,80.68,LK,3/3/2019,66.5,96,24,2.73
viking,53.1,-111.78,CA,3/3/2019,-2.13,78,0,11.23
djambala,-2.55,14.76,CG,3/3/2019,68.08,96,36,6.53
nara,34.68,135.8,JP,3/3/2019,51.01,100,75,2.24
casper,42.87,-106.31,US,3/3/2019,8.01,60,40,8.05
boone,36.22,-81.67,US,3/3/2019,46.99,100,1,0.38
kichera,55.93,110.1,RU,3/3/2019,7.1,70,0,2.95
ahraura,25.02,83.02,IN,3/3/2019,59,87,40,2.24
paso de los toros,-32.81,-56.52,UY,3/3/2019,71.77,64,0,12.46
coxim,-18.5,-54.75,BR,3/3/2019,77.35,75,12,3.29
monchegorsk,67.94,32.93,RU,3/3/2019,-9.6,64,32,2.39
morris,41.36,-88.42,US,3/3/2019,19.4,44,1,13.87
nevelsk,46.67,141.86,RU,3/3/2019,12.2,92,64,8.21
boundiali,9.53,-6.48,CI,3/3/2019,69.34,31,0,8.77
junagarh,19.86,82.94,IN,3/3/2019,66.1,96,24,2.51
stryn,61.9,6.72,NO,3/3/2019,37.99,92,0,14.99
atasu,48.68,71.64,KZ,3/3/2019,31.13,90,88,15.7
vinhedo,-23.03,-46.98,BR,3/3/2019,73.99,94,75,8.05
kalanguy,51.01,116.52,RU,3/3/2019,13.72,67,64,3.06
barpeta,26.33,91.01,IN,3/3/2019,64.4,77,75,3.36
tres arroyos,-38.38,-60.28,AR,3/3/2019,73.57,55,92,15.48
vung tau,10.35,107.08,VN,3/3/2019,76.99,100,0,7.2
leon,40.74,-93.75,US,3/3/2019,5,54,1,13.87
jinan,36.65,117.11,CN,3/3/2019,35.36,77,0,5.3
cherepanovo,54.23,83.37,RU,3/3/2019,29.78,91,80,10.45
petatlan,17.52,-101.27,MX,3/3/2019,86,66,5,11.41
villacarrillo,38.12,-3.08,ES,3/3/2019,40.9,85,8,5.53
bo phloi,14.32,99.52,TH,3/3/2019,86,70,0,3.62
nioaque,-21.16,-55.83,BR,3/3/2019,82.93,34,0,8.99
shirokiy,53.87,39.17,RU,3/3/2019,28.99,74,88,3
chornukhy,50.27,32.94,UA,3/3/2019,30.68,85,76,17.27
sao gabriel da cachoeira,-0.13,-67.09,BR,3/3/2019,76.72,92,20,2.28
east london,-33.02,27.91,ZA,3/3/2019,74.83,100,0,16.37
changtu,42.78,124.11,CN,3/3/2019,33.7,87,92,3.18
kyaikkami,16.08,97.57,MM,3/3/2019,71.05,87,0,2.95
zemio,5.02,25.13,CF,3/3/2019,68.08,74,12,2.84
simbahan,6.3,120.58,PH,3/3/2019,80.9,98,8,11.79
sungai udang,5.16,100.43,MY,3/3/2019,78.8,83,75,2.24
fare,-16.7,-151.02,PF,3/3/2019,83.33,100,80,2.62
omura,32.92,129.95,JP,3/3/2019,55,93,75,5.82
necochea,-38.55,-58.74,AR,3/3/2019,72,60,92,3
dongkan,34,119.83,CN,3/3/2019,38.56,80,0,3.62
upernavik,72.79,-56.15,GL,3/3/2019,8.95,100,32,3.29
jumla,29.28,82.18,NP,3/3/2019,11.33,100,0,2.28
calvinia,-31.47,19.78,ZA,3/3/2019,52.24,67,0,3.18
whitley bay,55.04,-1.44,GB,3/3/2019,42.01,100,75,10.29
vieques,18.43,-65.83,PR,3/3/2019,78.8,69,20,10.29
sretensk,52.24,117.7,RU,3/3/2019,12.28,68,68,2.51
two hills,53.71,-111.75,CA,3/3/2019,1.43,76,0,11.12
serra,-20.13,-40.31,BR,3/3/2019,82.4,83,20,8.05
marshall,39.39,-87.69,US,3/3/2019,27,67,75,10.29
namalenga,-10.95,39.1,TZ,3/3/2019,71.41,96,36,1.72
paredon,-18.93,-65.16,BO,3/3/2019,55.84,73,12,1.95
bondowoso,-7.91,113.82,ID,3/3/2019,77.3,89,24,3.18
killarney,-28.34,152.3,AU,3/3/2019,81,74,24,8.99
changde,29.04,111.68,CN,3/3/2019,41.3,89,76,1.95
swift current,50.29,-107.8,CA,3/3/2019,-4.01,70,1,24.16
kizhinga,51.85,109.91,RU,3/3/2019,11.06,69,32,3.18
kartaly,53.05,60.64,RU,3/3/2019,15.56,86,36,13.02
kearney,40.7,-99.08,US,3/3/2019,5,59,1,11.41
pontes e lacerda,-15.23,-59.33,BR,3/3/2019,79.15,84,0,2.84
velsk,61.07,42.1,RU,3/3/2019,10.57,83,68,4.29
amnat charoen,15.86,104.63,TH,3/3/2019,72.8,96,36,4.41
larap,14.3,122.65,PH,3/3/2019,77.62,100,68,11.01
bordighera,43.79,7.66,IT,3/3/2019,50,81,0,8.05
teresina,-5.09,-42.81,BR,3/3/2019,77,83,75,5.82
alamogordo,32.9,-105.96,US,3/3/2019,73.4,18,1,19.46
laiyang,36.98,120.7,CN,3/3/2019,45,50,0,2.73
lashma,54.93,41.14,RU,3/3/2019,10.57,77,0,8.88
patillas,18.01,-66.01,PR,3/3/2019,78.8,69,20,10.29
mogocha,53.73,119.76,RU,3/3/2019,19.12,82,88,3.51
sargatskoye,55.6,73.49,RU,3/3/2019,29.96,90,88,20.4
pine bluff,34.23,-92,US,3/3/2019,39.2,64,90,12.75
papillion,41.15,-96.04,US,3/3/2019,5,54,1,16.11
selaphum,16.03,103.94,TH,3/3/2019,75.2,94,40,4.41
siuna,13.73,-84.78,NI,3/3/2019,74.2,86,68,2.17
jesus del monte,19.11,-99.99,MX,3/3/2019,68,42,75,13.87
pocone,-16.26,-56.62,BR,3/3/2019,81.08,79,32,2.39
tipp city,39.96,-84.17,US,3/3/2019,28.4,92,90,6.93
qujing,25.49,103.8,CN,3/3/2019,51.61,65,24,13.24
severodvinsk,64.56,39.82,RU,3/3/2019,6.8,84,90,2.24
ashford,51.15,0.87,GB,3/3/2019,50,93,88,24.16
bouca,6.51,18.28,CF,3/3/2019,71.63,84,68,3.96
san onofre,9.74,-75.52,CO,3/3/2019,81.58,79,0,8.21
west odessa,31.84,-102.48,US,3/3/2019,32,59,0,12.75
tierralta,8.17,-76.06,CO,3/3/2019,82.39,73,24,11.01
bethalto,38.91,-90.04,US,3/3/2019,21.2,67,1,18.34
la poza,-32.7,-70.91,CL,3/3/2019,72,72,0,6.93
fairfield,38.25,-122.04,US,3/3/2019,62.01,77,90,12.75
rokytne,51.27,27.23,UA,3/3/2019,41.75,91,92,17.83
uch,45.32,-0.93,FR,3/3/2019,62.6,39,0,17.22
telde,27.99,-15.42,ES,3/3/2019,64.4,63,20,18.34
amarpur,23.52,91.65,IN,3/3/2019,57.23,88,44,2.28
ankazoabo,-22.29,44.51,MG,3/3/2019,70.15,92,48,3.29
guarare,7.82,-80.28,PA,3/3/2019,84.41,56,0,14.14
sesheke,-17.47,24.29,NA,3/3/2019,72.98,74,8,2.17
srednyaya yelyuzan,53.02,45.95,RU,3/3/2019,26.01,93,76,17.38
ballina,54.11,-9.15,IE,3/3/2019,41,83,48,3
hecelchakan,20.17,-90.13,MX,3/3/2019,86,58,5,6.93
amapa,15.09,-87.97,HN,3/3/2019,84.2,66,20,17.22
olavarria,-36.89,-60.32,AR,3/3/2019,64,90,92,3.18
bela vista de goias,-16.97,-48.95,BR,3/3/2019,77,78,75,3.36
maralal,1.1,36.7,KE,3/3/2019,53.81,91,0,2.62
brcko,44.87,18.81,BA,3/3/2019,37.4,61,0,1.12
paradise valley,53.03,-110.3,CA,3/3/2019,1.4,59,20,17.22
bayangol,48.91,106.09,MN,3/3/2019,16.01,70,0,2.84
la plata,-34.92,-57.95,AR,3/3/2019,77,69,0,13.87
corowa,-36,146.39,AU,3/3/2019,89.01,30,0,3.36
spas,50.05,24.48,UA,3/3/2019,42.8,70,90,11.18
almeria,36.84,-2.46,ES,3/3/2019,53.6,100,90,2.24
piet retief,-27.01,30.81,ZA,3/3/2019,61.55,95,92,2.73
orodara,10.98,-4.92,BF,3/3/2019,77,23,0,6.93
kozhevnikovo,56.26,83.98,RU,3/3/2019,30.99,82,80,11.01
russkaya polyana,53.78,73.88,RU,3/3/2019,27.8,86,8,17.83
nueve de julio,-31.67,-68.39,AR,3/3/2019,78.79,42,0,1.95
bokhan,53.15,103.77,RU,3/3/2019,5.93,61,20,2.39
jashpurnagar,22.88,84.14,IN,3/3/2019,56.6,91,24,2.62
sheopur,25.67,76.7,IN,3/3/2019,51.7,92,0,3.62
manvi,16,77.05,IN,3/3/2019,66.28,62,0,6.08
jingdezhen,29.29,117.2,CN,3/3/2019,39.41,82,0,3.18
barbastro,42.04,0.13,ES,3/3/2019,51.8,53,0,4.7
marondera,-18.19,31.55,ZW,3/3/2019,58.31,82,0,2.95
katsuura,33.93,134.5,JP,3/3/2019,50,100,90,4.7
kargat,55.19,80.28,RU,3/3/2019,29.51,89,88,18.61
wembley,51.55,-0.3,GB,3/3/2019,48.99,76,80,14.99
poddorye,57.47,31.12,RU,3/3/2019,21.64,83,88,11.9
izamal,20.93,-89.02,MX,3/3/2019,95,26,20,10.29
fushe-arrez,42.06,20.02,AL,3/3/2019,28.66,89,0,2.39
qasigiannguit,68.82,-51.19,GL,3/3/2019,19.4,79,64,4.7
sao felix do xingu,-6.64,-51.99,BR,3/3/2019,75.37,92,32,3.4
gualaco,15.03,-86.07,HN,3/3/2019,73.88,63,32,1.95
owando,-0.49,15.91,CG,3/3/2019,74.6,93,12,2.17
marsa matruh,31.35,27.25,EG,3/3/2019,55.03,77,92,6.87
yenotayevka,47.24,47.04,RU,3/3/2019,25.55,90,44,14.81
sinnamary,5.38,-52.96,GF,3/3/2019,80.63,88,92,12.35
jati,24.35,68.27,PK,3/3/2019,55.48,92,0,7.31
hithadhoo,-0.6,73.08,MV,3/3/2019,83.6,99,88,11.23
shuangcheng,45.37,126.3,CN,3/3/2019,19.4,62,24,2.24
el dorado,6.71,-61.64,VE,3/3/2019,78.79,65,36,3.96
silver city,32.77,-108.28,US,3/3/2019,62.6,29,1,17.22
prachatice,49.01,14,CZ,3/3/2019,46.99,75,48,1.01
